獸醫診所名稱,Name of Vet Clinic,營業地址,Business Address,Latitude,Longitude,區,營業電話號碼1,營業電話號碼2,營業電話號碼3,cat
反斗寵物診所,Pet Story Veterinary Clinic,香港銅鑼灣駱克道458號2樓,"2/F, 458 Lockhart Road, Causeway Bay, HK",22.2800151,114.1817653,港島東,28939939,-,-,S
順心動物診所,Happy Pets Veterinary Centre,香港銅鑼灣道64號,"64 Tung Lo Wan Road, Tai Hang, HK",22.2789155,114.1914133,港島東,28956811,-,-,S
動物王國醫院,Animal Kingdom Veterinary Hospital,香港威菲路道25-27號佳景大廈2-3號鋪,"Shop 2-3, Belle House, 25-27 Whitfield Road, HK",22.285923,114.1906127,港島東,25780321,-,-,S
銅鑼灣動物醫院,Causeway Bay Animal Hospital,香港銅鑼灣威菲路道29號,"29 Whitfield Road, Causeway Bay, HK",22.2859296,114.1906163,港島東,25100836,-,-,S
大坑動物診所,Tai Hang Veterinary Clinic,香港大坑浣紗街1-5號浣紗閣2號鋪地下,"G/F, Shop 2, Wun Sha Court, 1-5 Wun Sha Street, Tai Hang, HK",22.2791892,114.1925401,港島東,25775755,-,-,S
中央動物醫院,Central Animal Hospital,香港銅鑼灣興發街100號地下,"G/F, 100 Hing Fat Street, Causeway Bay, HK",22.2857857,114.1907531,港島東,25081083,-,-,S
梟史丹尼獸醫診所,Dr. Hugh's Veterinary Hospital,香港天后永興街2A號地下,"G/F, 2A Wing Hing Street, Tin Hau, HK",22.284986,114.191133,港島東,23800612,-,-,S
天后寵物醫院,Tin Hau Pet Hospital,香港天后英皇道41號維順閣B鋪地下,"Shop B, G/F, Wilson Count, 41 King's Road, Tin Hau, HK",22.2846383,114.1925401,港島東,21042000,-,-,S
夏利維動物醫院,Companion Care Limited,香港天后永興街37號地下,"G/F, 37 Wing Hing Street, Tin Hau, HK",22.285412,114.1926522,港島東,25706048,-,-,S
星寵動物醫院,Zodiac Pet & Exotic Hospital,香港天后歌頓道4號地下,"G/F, 4 Gordon Road, Tin Hau, HK",22.2856889,114.1912416,港島東,25271718,-,-,S
長康動物醫院,Cosmo Pet Service Centre and Anima,香港北角英皇道310A號1樓A鋪,"Shop A, 1/F, 310A, King's Road, North Point, HK",22.2900285,114.1960929,港島東,25300101,-,-,H
PC Enterprises (North Point) Limited,,香港北角渣華道66號地下,"G/F, 66 Java Road, North Point, HK",22.2917109,114.1981165,港島東,28118907,-,-,S
鰂魚涌寵物診所,Quarry Bay Veterinary Clinic,香港鰂魚涌英皇道1048-1056號益發大廈地鋪,"Unit 20A, G/F, 1048 King's Road, Yick Fat Building, Quarry Bay",22.2841077,114.212626,港島東,28092618,-,-,S
選擇獸醫診所,Choice Veterinary Clinic,香港筲箕灣新成街5-7號6樓7號鋪,"Shop 7, 6/F, 5-7, Sun Sing Street, Shau Kei Wan, HK",22.279705,114.2260238,港島東,29671896,-,-,S
東區動物醫院,East Island Animal Hospital,香港筲箕灣道256號地下,"G/F, 256 Shau Kei Wan Road, HK",22.2801004,114.2251067,港島東,29153999,-,-,H
Creature Comforts Veterinary Housecall Practice,,香港筲箕灣道256號地下,"G/F, 256 Shau Kei Wan Road, HK",22.2801004,114.2251067,港島東,97730372,-,-,S
動物緊急醫療中心,Animal Emergency Centre,香港筲箕灣道256號地下,"G/F, 256 Shau Kei Wan Road, HK",22.2801004,114.2251067,港島東,29157979,-,-,S
健河動物醫院,The Sanctuary Animal Hospital,香港西灣河筲箕灣道56號地下,"G/F, 56 Shau Kei Wan Road, Sai Wan Ho, HK",22.2830475,114.2208981,港島東,25602721,-,-,S
Pets Central (North Point),,香港北角渣華道66號,"G/F, 66 Java Road, North Point, HK",22.2917109,114.1981165,港島東,28118907,-,-,S
香港貓醫院,Nine Lives The Cat Hospital,香港中環鴨巴甸街37號地下,"G/F 37 Aberdeen Street, Central, HK",22.2828414,114.1516754,港島中西及南區,29758228,-,-,S
蘇利宜動物醫院,Four Paws Animal Hospital,香港中環半山堅道130號堅威大廈地下B鋪,"Shop B, G/F, Caineway Mansion, 130, Caine Road, Mid-levels, Central, HK",22.282655,114.1494858,港島中西及南區,22910065,-,-,S
Creature Comforts Veterinary Housecall Practice,,"GPO Box 481, Central District, HK",,22.2799907,114.1587983,港島中西及南區,97730372,-,-,S
西區獸醫診所,Queenwest Veterinary Clinic,香港皇后大道西303號地下,"G/F, 303 Queen's Road West, HK",22.2870412,114.1421895,港島中西及南區,28582211,-,-,S
永恆動物醫療中心,Endless Love Veterinary Centre,香港皇后大道西513號尼斯花園地下B鋪,"Shop B, G/F Nice Garden, 513 Queen's Road West, HK",22.2867305,114.1332755,港島中西及南區,28182333,-,-,S
雅各動物醫院,Acorn Veterinary Hospital,香港西營盤第二街68-80號地下,"G/F, 68-80 Second Street, Sai Ying Pun, HK",22.2860409,114.1415433,港島中西及南區,25400228,-,-,S
方舟動物醫院,The Ark Veterinary Hospital,香港西營盤水街25-35號樂新大廈地下及1樓1號鋪,"Shop 1, G/F & 1/F, Rockson Mansion, 25-35 Water Street, Sai Ying Pun, HK",22.2854833,114.1389887,港島中西及南區,25492330,-,-,S
研康獸醫診所,Biorecovery Veterinary Clinic,香港西營盤第三街192號福安樓地下1號鋪,"Shop 1, G/F, Fook On Building, No. 192 Third Street, Sai Ying Pun, HK",22.2856478,114.1384609,港島中西及南區,29152095,-,-,S
愛心寵物醫院(針灸保健及治療),Joyful Pet Veterinary Hospital,香港西環北街昌裕大廈13號地下,"G/F, Cheong Yue Mansions, 13 North Street, Sai Wan, HK",22.283742,114.129031,港島中西及南區,28912011,-,-,S
赤柱寵物診所,Stanley Veterinary Centre,香港赤柱黃麻角道10-12號地庫,"LG/F, 10-12 Wong Ma Kok Road, Stanley, HK",22.217876,114.2134298,港島中西及南區,28132030,-,-,S
Island Exotics,,香港西營盤干諾道西139-140號興泰大厦2樓,"2/F, Hing Tai Building, 139-140 Connaught Road West, HK",22.2883433,114.1432619,港島中西及南區,26871030,-,-,S
南區動物診所,Southern Animal Clinic,香港香港仔香港仔大道223-227號福群大厦地下4號鋪,"Shop 4, G/F, ABBA Centre, 223 -227 Aberdeen Main Road, Aberdeen, HK",22.24823,114.152859,港島中西及南區,28895238,28895938,-,S
南區獸醫中心,Southern District Veterinary Centre,香港鴨脷洲大街165-167號樂景大廈地下A1-A2舖,"Shop A1-A2, G/F, Happy View Building, 165-167 Ap Lei Chau Main Street, HK",22.2436381,114.153457,港島中西及南區,28051318,28051328,-,S
柏雅動物診所,Praya Animal Clinic,香港西環吉席街9-15號吉利樓地下D鋪,"Flat D, G/F, Kelly Court, 9-15 Catchick Street, HK",22.2836154,114.1292345,港島中西及南區,34619126,-,-,S
跑馬地獸醫診所及醫院,Happy Valley Veterinary Clinic & Hospital,香港跑馬地昌明街6號地下,"G/F, 6 Cheong Ming Street, Happy Valley, HK",22.2683715,114.1868393,灣仔區,25720977,-,-,S
明慧獸醫診所,Health Care Veterinary Clinic,香港跑馬地晉源街7號晉寶大廈地下B鋪,"Shop B, G/F, Silverstone Mansion, 7 Tsun Yuen Street, Happy Valley, HK",22.2675482,114.1872921,灣仔區,28335931,-,-,S
快活谷獸醫中心,Valley Veterinary Centre,香港跑馬地源遠街15號地下,"G/F, 15 Yuen Yuen Street, Happy Valley, HK",22.2694169,114.1859452,灣仔區,25752389,-,-,S
