,獸醫診所名稱,Name of Vet Clinic,營業地址,Business Address,Latitude,Longitude,區,營業電話號碼1,營業電話號碼2,營業電話號碼3,cat,place_id
111,彩虹獸醫診所,Rainbow Veterinary Clinic,新界屯門青山公路良田村58號地下,"G/F, No. 58 Leung Tin Chuen, Area 36B, Tuen Mun, NT",22.398947600000003,113.9775531,屯門區,24309581,-,-,S,ChIJV4e3hhj7AzQR5ja7UwStC4c
112,置樂動物診所有限公司,Chandler Animal Clinic,新界屯門彩華花園地下13號鋪,"Shop 13, G/F, Rainbow Garden, Tuen Mun, NT",22.385901,113.980278,屯門區,24301758,24301728,-,S,ChIJpeZ2qhX7AzQRxDFDFU4owgc
113,維多利寵物診所 (屯門),Victoria Veterinary Clinic (Tuen Mun),新界屯門德政圍18號海盛大廈地下3號鋪,"Shop 3, G/F Hoi Shing Building, 18 Tak Ching Court, Tuen Mun, NT",22.3952672,113.9748581,屯門區,24597217,-,-,S,ChIJyTdMLD37AzQR-_-apXkZZlw
114,康和動物醫療中心,Concord Animal Medical Centre,新界屯門青海圍8號屯景大廈地下E1鋪,"E1, Tuen King Building, No. 8 Tsing Hoi Circuit, Tuen Mun, NT",22.388644,113.97877890000001,屯門區,26408138,-,-,S,ChIJPxwR5xX7AzQRnrMzrZL9ojQ
115,東方獸醫診所 (屯門),Oriental Veterinary Clinic (Tuen Mun),新界屯門良田新村107-108號地下,"G/F, 107-108 Leung Tin San Tsuen, Tuen Mun, NT",22.406698000000002,113.965116,屯門區,24419816,-,-,S,ChIJub66lhj7AzQRSW2iHLK1EH8
116,景峰動物醫療中心,The Prime View Veterinary Centre,新界屯門井財街21號協邦大廈地下6-7號舖,"Shop 6-7, G/F, Hip Pont Building, 21 Tseng Choi Street, Tuen Mun, NT",22.401436,113.97756100000001,屯門區,23631860,-,-,S,ChIJWWRZWB_7AzQRANqSLFL7js0
117,Jack's Veterinary,,新界屯門中央廣場海榮路22號18樓1808室,"1808, 18/F, Tuen Mun Central Square, No.22 Hoi Wing Road, Tuen Mun, NT",22.381249899999997,113.971792,屯門區,37096097,-,-,S,ChIJ2532LUH7AzQRGE4dK55rnOA
118,Dr George's 獸醫醫療中心,Dr George's Veterinary Medical Center,新界荃灣享成街28號仁惠苑地下5號鋪,"Shop 5, G/F, Yen Wai Garden, 28 Heung Shing Street, Tsuen Wan, NT",22.372001100000002,114.1107473,荃灣區,24988102,24988103,-,S,ChIJK9bwru_4AzQRyIV6RiNcjk4
119,活泉動物醫療中心,Fountain of Life Animal Medical Centre,新界荃灣荃樂街1號荃樂大廈地下,"G/F, 1 Tsuen Lok Street, Tsuen Wan, NT",22.369646799999998,114.1202929,荃灣區,34812781,-,-,S,ChIJ9V2X1ez4AzQRdjCyOA48PNU
120,荃灣獸醫寵物醫院,Tsuen Wan VetnPet Hospital,新界荃灣沙咀道168號地下,"No.168 Sha Tsui Road, Tsuen Wan, NT",22.3718875,114.1125703,荃灣區,25730028,-,-,S,ChIJgbfb1e34AzQR8FyZOsnL3Ns
