Northwest Naturals 分銷商									
區域	地區	店舖名稱	聯絡電話	地址	網址	Facebook	https://drive.google.com/drive/folders/1uVGjxZ2amDMd6iBkn16UvsMiiD0SYuJ0?usp=sharing	Latitude	Longitude
香港	堅尼地城	樂高寵物	Tel: (852) 2562 6808    WhatsApp: (852) 5228 0991	香港皇后大道西576-584地下 (港鐵香港大學站C2出口)	https://www.legopet.com.hk/	https://www.facebook.com/legopet		22.2857861	114.1326252
香港	半山區	HUNTER	3956 9700	香港西半山聖士提反里1-2號金鳳閣地下6號	http://hunterhongkong.com/	https://www.facebook.com/hongkonghunter		22.2842963	114.1421007
香港	銅鑼灣	樂高寵物	Tel: (852) 2787 6211    WhatsApp: (852) 5228 2497	香港銅鑼灣景隆街30-34號海殿大廈地下7號	https://www.legopet.com.hk/	https://www.facebook.com/legopet		22.2818513	114.1836695
香港	銅鑼灣	樂高寵物	Tel: (852) 2428 0150    WhatsApp: (852) 6263 3459	香港銅鑼灣駱克道509號地下	https://www.legopet.com.hk/	https://www.facebook.com/legopet		22.2807122	114.1833633
香港	銅鑼灣	寵物城	2626 0915	銅鑼灣景隆街17號 地下				22.2814738	114.183642
香港	北角	樂高寵物	​Tel: (852) 2322 2608    WhatsApp: (852) 5228 3610	香港北角電氣道300號B舖	https://www.legopet.com.hk/	https://www.facebook.com/legopet		22.290169	114.194627
香港	鴨脷洲	Whiskers N Paws	2552 6200	香港鴨利洲2號利榮街海怡工貿中心10樓13室	https://zh.wnp.com.hk/			22.2388773	114.152154
九龍	佐敦	寵物堡	2668 1002	九龍佐敦偉晴街88A號	https://www.dog818.com/			22.3076979	114.1678559
九龍	油麻地	寵物堡	26041020	九龍油麻地廣東道826號	https://www.dog818.com/			22.3132757	114.1684507
九龍	何文田	HUNTER	2368 0511	九龍何文田佛光街80號何文田廣場三樓315店	http://hunterhongkong.com/	https://www.facebook.com/hongkonghunter		22.3162364	114.1818117
九龍	何文田	寵物城	26260406	九龍何文田太平道1號地下B-D	https://www.megapet.com.hk/			22.3176097	114.1741542
九龍	旺角	寵物城	26260875	九龍旺角通菜街149號地下	https://www.megapet.com.hk/			22.3215719	114.1699712
九龍	旺角	力高寵物屋	2392 4998	九龍旺角通菜街161號				22.3217487	114.1699541
九龍	旺角	樂高寵物	Tel: (852) 2712 0138    WhatsApp: (852) 5228 2793	九龍旺角太平道4號B	https://www.legopet.com.hk/	https://www.facebook.com/legopet		22.3181782	114.1741949
九龍	旺角	A+寵物專門店	2711 6909	九龍旺角太平道4號A	https://www.apluspet.com.hk/	https://www.facebook.com/APLUSPetstore/		22.3181782	114.1741949
九龍	太子	老友狗狗	5400 5391	九龍太子鴨寮街7號D舖		https://www.facebook.com/dogsbuddy6199/		22.3268206	114.1661135
九龍	土瓜灣	寵物堡	25631020	九龍土瓜灣浙江街34號地下	https://www.dog818.com/			22.3151555	114.1892047
