Nulo 分銷商											
區域	地區	店舖名稱	聯絡電話	地址	網址	Facebook	開放時間	是否24小時營業		Latitude	Longitude
香港	堅尼地城	Puppy Doggy	96411428	Shop 2, G/F, Kennedy Town Building,27 Kennedy Town Praya,		https://www.facebook.com/Puppy-Doggy-1262825080403840/	1200-2000	N	https://drive.google.com/drive/folders/1C9_m3rvDuAGrGC1W2yGqeTGf1lqIccuz?usp=sharing	22.2848749	114.1313479
香港	西營盤	Doggies & Friends	68769134	西營盤高街55號	https://linktr.ee/doggiesandfriends	https://www.facebook.com/doggiesandfriends/	1130-2030	N		22.2852498	114.1421272
香港	中環	曳曳孫	66211493	中環威靈頓街85-89號群英商業大廈2樓B室			1000-1900	N		22.2833247	114.154444
香港	半山區	Barkyard	66538404	半山摩羅廟交加街20號			10:30-20:00	N		22.2798962	114.1510924
香港	半山區	HUNTER	64227024	西半山聖士提反里1-2號金鳳閣地下6號	http://hunterhongkong.com/	https://www.facebook.com/hongkonghunter/	1100-2000	N		22.2842963	114.1421007
香港	灣仔	愛的寵物店	25752882	灣仔莊士敦道25~33號長康大廈地下C舖		https://www.facebook.com/Honeypetshopwc/		N		22.2772256	114.170549
香港	銅鑼灣	Private I Pets		Shop A G/F & Shop A1 & A2 1/F 9 Kingston Street Fashion Walk CWB	http://www.psgroup.com.hk/	https://www.facebook.com/PRIVATEiPETS	1000-2000	N		22.2819579	114.1860238
香港	銅鑼灣	三色貓	92278291	銅鑼灣利園山道70號鳳鳴大廈10樓H室				N		22.2783529	114.1839608
香港	銅鑼灣	花旗	6365 4232	銅鑼灣景隆街32號地鋪		https://www.facebook.com/flagshippets/		N		22.2819047	114.1833796
香港	銅鑼灣	松之頌	96247328	銅鑼灣景隆街海都大廈23號1樓I室		https://www.facebook.com/Poms-tale-%E6%9D%BE%E4%B9%8B%E9%A0%8C-671661406349018/		N		22.2817256	114.1834419
香港	跑馬地	Puff N Fluff	6180 0613	跑馬地源遠街9號	https://puff-n-fluff.business.site	https://www.facebook.com/PuffNFluff/	1000-1900	N		22.2693298	114.1859452
香港	天后	木星貓舍	61122638	天后興發街68號J地舖	https://www.salajupiter.com	https://www.facebook.com/SalajupiterCat		N		22.284962	114.191186
香港	炮台山	瑪琪寵物美容舍	98282862	北角京華道9-27號富利來商場9號地舖				N		22.2886368	114.1919944
香港	炮台山	Petapeer	91707470	炮台山宏暉大廈地下12號舖		https://www.facebook.com/petapeer	1100-2030	N		22.2886129	114.192215
香港	北角	毛MODE	93085651	北角渣華道8號威邦商業中心地下3號舖		https://www.facebook.com/momodefamilypetgrooming	1100-2000	N		22.2910862	114.1956053
香港	鰂魚涌	Vetopia Ltd	94296024	6B, 昌利大廈206-208 Tsat Tsz Mui Rd, Quarry Bay	www.vetopia.com.hk			N		22.2907979	114.2077962
香港	筲箕灣	狗狗物語	2885 2220	筲箕灣道235號地下				N		22.2799337	114.2256923
香港	筲箕灣	Rainbow Pet Shop	2134 1457	筲箕灣東大街54-60號		https://www.facebook.com/rainbowpetshophk		N		22.2795686	114.2299247
香港	柴灣	Smiley Pet	97136500	柴灣樂軒臺地舖106號				N		22.263897	114.240544
九龍	尖沙咀	貓狗緣	98386113	尖沙咀金巴利道86-96地下A舖	https://www.doggykittylink.com/		1000-2000	N		22.3023723	114.1757271
