Nutrience 分銷商											
區域	地區	店舖名稱	聯絡電話	地址	網址	Facebook	開放時間	是否24小時營業		Latitude	Longitude
香港	鴨脷洲	Whiskers N Paws	2552 6200	香港鴨利洲2號利榮街海怡工貿中心10樓13室	https://zh.wnp.com.hk/		星期一至星期五 • 上午10時正 - 下午6時正  週末及公眾假期 • 上午10時正 - 下午7時正	N	https://drive.google.com/drive/folders/1HZPaA9U_ziM2kYmzpNvvXSuplJm9QYft?usp=sharing	22.2388773	114.152154
香港	銅鑼灣	樂高寵物	Tel: (852) 2787 6211    WhatsApp: (852) 5228 2497	香港銅鑼灣景隆街30-34號海殿大廈地下7號	https://www.legopet.com.hk/	https://www.facebook.com/legopet	星期一 至 星期日(Mon-Sun)    12:00PM - 22:00PM	N		22.2818513	114.1836695
香港	銅鑼灣	樂高寵物	Tel: (852) 2428 0150    WhatsApp: (852) 6263 3459	香港銅鑼灣駱克道509號地下	https://www.legopet.com.hk/	https://www.facebook.com/legopet	星期一 至 星期日(Mon-Sun)    12:00PM - 22:00PM	N		22.2807122	114.1833633
香港	堅尼地城	樂高寵物	Tel: (852) 2562 6808    WhatsApp: (852) 5228 0991	香港皇后大道西576-584地下 (港鐵香港大學站C2出口)	https://www.legopet.com.hk/	https://www.facebook.com/legopet	星期一 至 星期日( Mon-Sun)	N		22.2857861	114.1326252
香港	西營盤	Hunter	3956 9700	香港西半山聖士提反里1-2號金鳳閣地下6號	http://hunterhongkong.com/	https://www.facebook.com/hongkonghunter	11:00 - 20:00	N		22.2842963	114.1421007
香港	北角	樂高寵物	​Tel: (852) 2322 2608    WhatsApp: (852) 5228 3610	香港北角電氣道300號B舖	https://www.legopet.com.hk/	https://www.facebook.com/legopet	星期一 至 星期日( Mon-Sun)    11:30AM - 20:30PM	N		22.290169	114.194627
九龍	長沙灣	Sun Lucky Pet Shop	2720 1899	九龍長沙灣青山道361號地下	http://www.sunluckypet.com/			N		22.338582	114.155794
九龍	長沙灣	大狗堡	2771 5588	九龍長沙灣元洲街155-181號	https://www.tdogcastle.com.hk/	https://www.facebook.com/tdogcastle.com.hk/	12:00pm~8:30pm	N		22.3342477	114.1605638
九龍	長沙灣	喵喵基地	9867 5583	九龍長沙灣青山道202號興隆大廈地下2號舖 ( 近東京街 )	https://meowygoround.com/	https://www.facebook.com/Meowygoround/	Mon-Fri 12:00-7:00 (wed Off)  Sat-Sun & Public Holiday 12:00-5:00	N		22.3367086	114.1588448
九龍	長沙灣	天之城寵物美容中心	2744 3489	九龍長沙灣昌華街23號富華廣場地下17號舖	http://laputer-pet.com/		11:30 - 21:30	N		22.3398975	114.1541073
九龍	長沙灣	金牌犬舍	2415 6988	九龍長沙灣元州商場1樓F10號舖	https://www.cpeth.com/	https://www.facebook.com/cpethcom/	11:00 - 21:30	N		22.3373874	114.1562573
九龍	何文田	Hunter	2368 0511	九龍何文田佛光街80號何文田廣場三樓315店	http://hunterhongkong.com/	https://www.facebook.com/hongkonghunter	11:00 - 20:00	N		22.3162364	114.1818117
九龍	紅磡	波士寵物用品	6999-0417	九龍紅磡翔街1號維港中心第一座3樓306室-A106室	https://bossy-pets.com/	https://www.facebook.com/bossypets/		N		22.3095576	114.190845
九龍	紅磡	樂高寵物	Tel: (852) 2488 0300    WhatsApp: (852) 5223 1714	九龍紅磡民泰街24號D2舖	https://www.legopet.com.hk/	https://www.facebook.com/legopet	星期一 至 星期日(Mon-Sun)  11:00PM - 21:00PM	N		22.3065527	114.1881145
九龍	佐敦	寵物堡	2668 1002	九龍佐敦偉晴街88A號	https://www.dog818.com/		11:00PM - 21:00PM	N		22.3076979	114.1678559
