last_updated	id	chi_name	chi_address	district	tel1	tel2	tel3	Latitude	Longitude	website	fb_page	remarks	opening_hours	weekday_text	head_ad1_image	head_ad1_href	head_ad1_start	head_ad1_end	head_ad2_image	head_ad2_href	head_ad2_start	head_ad2_end	footer_ad1_image	footer_ad1_href	footer_ad1_start	footer_ad1_end
2018年9月19日	1	反斗寵物診所	香港銅鑼灣駱克道458號2樓	港島東	28939939			22.280005	114.181754				[{"close": {"day": 1, "time": "2030"}, "open": {"day": 1, "time": "1030"}}, {"close": {"day": 2, "time": "2030"}, "open": {"day": 2, "time": "1030"}}, {"close": {"day": 3, "time": "2030"}, "open": {"day": 3, "time": "1030"}}, {"close": {"day": 4, "time": "2030"}, "open": {"day": 4, "time": "1030"}}, {"close": {"day": 5, "time": "2030"}, "open": {"day": 5, "time": "1030"}}, {"close": {"day": 6, "time": "2030"}, "open": {"day": 6, "time": "1030"}}]	["星期一: 10:00 – 20:30", "星期二: 10:00 – 20:30", "星期三: 10:00 – 20:30", "星期四: 10:00 – 20:30", "星期五: 10:00 – 20:30", "星期六: 10:00 – 20:30", "星期日: 休息"]												
2018年9月19日	2	順心動物診所	香港銅鑼灣道64號	港島東	28956811			22.278878	114.1914719	http://www.happypets.hk	https://www.facebook.com/HappypetsHK		[{"close": {"day": 0, "time": "1900"}, "open": {"day": 0, "time": "1000"}}, {"close": {"day": 1, "time": "1900"}, "open": {"day": 1, "time": "1000"}}, {"close": {"day": 2, "time": "1900"}, "open": {"day": 2, "time": "1000"}}, {"close": {"day": 3, "time": "1900"}, "open": {"day": 3, "time": "1000"}}, {"close": {"day": 4, "time": "1900"}, "open": {"day": 4, "time": "1000"}}, {"close": {"day": 5, "time": "1900"}, "open": {"day": 5, "time": "1000"}}, {"close": {"day": 6, "time": "1900"}, "open": {"day": 6, "time": "1000"}}]	["星期一: 10:00 – 19:00", "星期二: 10:00 – 19:00", "星期三: 10:00 – 19:00", "星期四: 10:00 – 19:00", "星期五: 10:00 – 19:00", "星期六: 10:00 – 19:00", "星期日: 10:00 – 19:00"]												
2018年9月19日	3	動物王國醫院	香港威菲路道25-27號佳景大廈2-3號舖	港島東	25780321			22.2859625	114.1904891	http://www.akvh.com.hk	https://www.facebook.com/222456581098244/		[{"close": {"day": 0, "time": "1300"}, "open": {"day": 0, "time": "1000"}}, {"close": {"day": 0, "time": "1700"}, "open": {"day": 0, "time": "1400"}}, {"close": {"day": 1, "time": "1330"}, "open": {"day": 1, "time": "1000"}}, {"close": {"day": 1, "time": "2030"}, "open": {"day": 1, "time": "1530"}}, {"close": {"day": 2, "time": "1330"}, "open": {"day": 2, "time": "1000"}}, {"close": {"day": 2, "time": "2030"}, "open": {"day": 2, "time": "1530"}}, {"close": {"day": 3, "time": "1330"}, "open": {"day": 3, "time": "1000"}}, {"close": {"day": 3, "time": "2030"}, "open": {"day": 3, "time": "1530"}}, {"close": {"day": 4, "time": "1330"}, "open": {"day": 4, "time": "1000"}}, {"close": {"day": 4, "time": "2030"}, "open": {"day": 4, "time": "1530"}}, {"close": {"day": 5, "time": "1330"}, "open": {"day": 5, "time": "1000"}}, {"close": {"day": 5, "time": "2030"}, "open": {"day": 5, "time": "1530"}}, {"close": {"day": 6, "time": "1330"}, "open": {"day": 6, "time": "1000"}}, {"close": {"day": 6, "time": "2030"}, "open": {"day": 6, "time": "1530"}}]	["星期一: 10:00 – 13:30, 15:30 – 20:30", "星期二: 10:00 – 13:30, 15:30 – 20:30", "星期三: 10:00 – 13:30, 15:30 – 20:30", "星期四: 10:00 – 13:30, 15:30 – 20:30", "星期五: 10:00 – 13:30, 15:30 – 20:30", "星期六: 10:00 – 13:30, 15:30 – 20:30", "星期日: 10:00 – 13:00, 14:00 – 17:00"]												
2018年9月19日	4	銅鑼灣動物醫院	香港銅鑼灣威菲路道29號	港島東	25100836			22.2857848	114.1904603	http://doctorsbeckandstone.com/Our_vets_in_Hong_Kong#a	https://www.facebook.com/CausewayBayAnimalHospital/		[{"close": {"day": 0, "time": "1900"}, "open": {"day": 0, "time": "0900"}}, {"close": {"day": 1, "time": "1900"}, "open": {"day": 1, "time": "0900"}}, {"close": {"day": 2, "time": "1900"}, "open": {"day": 2, "time": "0900"}}, {"close": {"day": 3, "time": "1900"}, "open": {"day": 3, "time": "0900"}}, {"close": {"day": 4, "time": "1900"}, "open": {"day": 4, "time": "0900"}}, {"close": {"day": 5, "time": "1900"}, "open": {"day": 5, "time": "0900"}}, {"close": {"day": 6, "time": "1900"}, "open": {"day": 6, "time": "0900"}}]	["星期一: 09:00 – 19:00", "星期二: 09:00 – 19:00", "星期三: 09:00 – 19:00", "星期四: 09:00 – 19:00", "星期五: 09:00 – 19:00", "星期六: 09:00 – 19:00", "星期日: 09:00 – 19:00"]												
2018年9月19日	5	大坑動物診所	香港大坑浣紗街1-5號浣紗閣2號舖地下	港島東	25775755			22.2793026	114.1925637				[{"close": {"day": 0, "time": "1800"}, "open": {"day": 0, "time": "1200"}}, {"close": {"day": 1, "time": "1900"}, "open": {"day": 1, "time": "1030"}}, {"close": {"day": 2, "time": "1900"}, "open": {"day": 2, "time": "1030"}}, {"close": {"day": 3, "time": "1900"}, "open": {"day": 3, "time": "1030"}}, {"close": {"day": 4, "time": "1900"}, "open": {"day": 4, "time": "1030"}}, {"close": {"day": 5, "time": "1900"}, "open": {"day": 5, "time": "1030"}}, {"close": {"day": 6, "time": "1800"}, "open": {"day": 6, "time": "1200"}}]	["星期一: 10:30 – 19:00", "星期二: 10:30 – 19:00", "星期三: 10:30 – 19:00", "星期四: 10:30 – 19:00", "星期五: 10:30 – 19:00", "星期六: 12:00 – 18:00", "星期日: 12:00 – 18:00"]												
2018年9月19日	6	中央動物醫院	香港天后興發街100號地下	港島東	25081083			22.285795	114.190556	http://www.centralanimalhospital.hk	https://www.facebook.com/pg/centralanimalhospitalhk/	勞工假期休息	[{"close": {"day": 0, "time": "1300"}, "open": {"day": 0, "time": "1000"}}, {"close": {"day": 0, "time": "2200"}, "open": {"day": 0, "time": "1500"}}, {"close": {"day": 1, "time": "1300"}, "open": {"day": 1, "time": "1000"}}, {"close": {"day": 1, "time": "2200"}, "open": {"day": 1, "time": "1500"}}, {"close": {"day": 2, "time": "1300"}, "open": {"day": 2, "time": "1000"}}, {"close": {"day": 2, "time": "2200"}, "open": {"day": 2, "time": "1500"}}, {"close": {"day": 3, "time": "1300"}, "open": {"day": 3, "time": "1000"}}, {"close": {"day": 3, "time": "2200"}, "open": {"day": 3, "time": "1500"}}, {"close": {"day": 4, "time": "1300"}, "open": {"day": 4, "time": "1000"}}, {"close": {"day": 4, "time": "2200"}, "open": {"day": 4, "time": "1500"}}, {"close": {"day": 5, "time": "1300"}, "open": {"day": 5, "time": "1000"}}, {"close": {"day": 5, "time": "2200"}, "open": {"day": 5, "time": "1500"}}, {"close": {"day": 6, "time": "1300"}, "open": {"day": 6, "time": "1000"}}, {"close": {"day": 6, "time": "2200"}, "open": {"day": 6, "time": "1500"}}]	["星期一: 10:00 – 13:00, 15:00 – 22:00", "星期二: 10:00 – 13:00, 15:00 – 22:00", "星期三: 10:00 – 13:00, 15:00 – 22:00", "星期四: 10:00 – 13:00, 15:00 – 22:00", "星期五: 10:00 – 13:00, 15:00 – 22:00", "星期六: 10:00 – 13:00, 15:00 – 22:00", "星期日: 10:00 – 13:00, 15:00 – 22:00"]												
2018年9月19日	7	梟史丹尼獸醫診所	香港天后永興街2A號地下	港島東	23800612			22.2851212	114.1911357	https://www.drhugh.com.hk/	https://www.facebook.com/Dr.Hugh.Stanley/		[{"close": {"day": 0, "time": "1700"}, "open": {"day": 0, "time": "1000"}}, {"close": {"day": 1, "time": "1900"}, "open": {"day": 1, "time": "0900"}}, {"close": {"day": 2, "time": "1900"}, "open": {"day": 2, "time": "0900"}}, {"close": {"day": 3, "time": "1900"}, "open": {"day": 3, "time": "0900"}}, {"close": {"day": 4, "time": "1900"}, "open": {"day": 4, "time": "0900"}}, {"close": {"day": 5, "time": "1900"}, "open": {"day": 5, "time": "0900"}}, {"close": {"day": 6, "time": "1900"}, "open": {"day": 6, "time": "0900"}}]	["星期一: 09:00 – 19:00", "星期二: 09:00 – 19:00", "星期三: 09:00 – 19:00", "星期四: 09:00 – 19:00", "星期五: 09:00 – 19:00", "星期六: 09:00 – 19:00", "星期日: 10:00 – 17:00"]												
2018年9月19日	8	天后寵物醫院	香港天后英皇道41號維順閣B舖地下	港島東	21042000			22.284663	114.192505	http://thph.com.hk/			[{"close": {"day": 0, "time": "1900"}, "open": {"day": 0, "time": "1000"}}, {"close": {"day": 1, "time": "1900"}, "open": {"day": 1, "time": "0930"}}, {"close": {"day": 2, "time": "1900"}, "open": {"day": 2, "time": "0930"}}, {"close": {"day": 3, "time": "1900"}, "open": {"day": 3, "time": "0930"}}, {"close": {"day": 4, "time": "1900"}, "open": {"day": 4, "time": "0930"}}, {"close": {"day": 5, "time": "1900"}, "open": {"day": 5, "time": "0930"}}, {"close": {"day": 6, "time": "1900"}, "open": {"day": 6, "time": "0930"}}]	["星期一: 09:30 – 19:00", "星期二: 09:30 – 19:00", "星期三: 09:30 – 19:00", "星期四: 09:30 – 19:00", "星期五: 09:30 – 19:00", "星期六: 09:30 – 19:00", "星期日: 10:00 – 19:00"]												
2018年9月19日	9	夏利維動物醫院	香港天后永興街37號地下	港島東	25706048			22.285439	114.192636				[{"close": {"day": 0, "time": "1800"}, "open": {"day": 0, "time": "0900"}}, {"close": {"day": 1, "time": "2000"}, "open": {"day": 1, "time": "0800"}}, {"close": {"day": 2, "time": "2000"}, "open": {"day": 2, "time": "0800"}}, {"close": {"day": 3, "time": "2000"}, "open": {"day": 3, "time": "0800"}}, {"close": {"day": 4, "time": "2000"}, "open": {"day": 4, "time": "0800"}}, {"close": {"day": 5, "time": "2000"}, "open": {"day": 5, "time": "0800"}}, {"close": {"day": 6, "time": "1800"}, "open": {"day": 6, "time": "0900"}}]	["星期一: 08:00 – 20:00", "星期二: 08:00 – 20:00", "星期三: 08:00 – 20:00", "星期四: 08:00 – 20:00", "星期五: 08:00 – 20:00", "星期六: 09:00 – 18:00", "星期日: 09:00 – 18:00"]												
2018年9月19日	10	星寵動物醫院	香港天后歌頓道4號地下	港島東	25271718			22.2856889	114.1912416	http://www.zodiacvet.com/	https://www.facebook.com/zodiacvet/		[{"close": {"day": 0, "time": "1300"}, "open": {"day": 0, "time": "0900"}}, {"close": {"day": 0, "time": "1800"}, "open": {"day": 0, "time": "1400"}}, {"close": {"day": 1, "time": "1300"}, "open": {"day": 1, "time": "0900"}}, {"close": {"day": 1, "time": "1900"}, "open": {"day": 1, "time": "1400"}}, {"close": {"day": 2, "time": "1300"}, "open": {"day": 2, "time": "0900"}}, {"close": {"day": 2, "time": "1900"}, "open": {"day": 2, "time": "1400"}}, {"close": {"day": 3, "time": "1300"}, "open": {"day": 3, "time": "0900"}}, {"close": {"day": 3, "time": "1900"}, "open": {"day": 3, "time": "1400"}}, {"close": {"day": 4, "time": "1300"}, "open": {"day": 4, "time": "0900"}}, {"close": {"day": 4, "time": "1900"}, "open": {"day": 4, "time": "1400"}}, {"close": {"day": 5, "time": "1300"}, "open": {"day": 5, "time": "0900"}}, {"close": {"day": 5, "time": "1900"}, "open": {"day": 5, "time": "1400"}}, {"close": {"day": 6, "time": "1300"}, "open": {"day": 6, "time": "0900"}}, {"close": {"day": 6, "time": "1800"}, "open": {"day": 6, "time": "1400"}}]	["星期一: 09:00 – 13:00, 14:00 – 19:00", "星期二: 09:00 – 13:00, 14:00 – 19:00", "星期三: 09:00 – 13:00, 14:00 – 19:00", "星期四: 09:00 – 13:00, 14:00 – 19:00", "星期五: 09:00 – 13:00, 14:00 – 19:00", "星期六: 09:00 – 13:00, 14:00 – 18:00", "星期日: 09:00 – 13:00, 14:00 – 18:00"]												
