s,t
10:00 - 20:30,"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1000'}}]"
10:30 ~ 21:00,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1030'}}]"
10:30-20:00,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1030'}}]"
10:30-21:00,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1030'}}]"
1000-1900,"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1000'}}]"
1000-1930,"[{'close': {'day': 0, 'time': '1930'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1930'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1930'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1930'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1930'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1930'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1930'}, 'open': {'day': 6, 'time': '1000'}}]"
1000-2000,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1000'}}]"
1030-2030,"[{'close': {'day': 0, 'time': '2030'}, 'open': {'day': 0, 'time': '1030'}}, {'close': {'day': 1, 'time': '2030'}, 'open': {'day': 1, 'time': '1030'}}, {'close': {'day': 2, 'time': '2030'}, 'open': {'day': 2, 'time': '1030'}}, {'close': {'day': 3, 'time': '2030'}, 'open': {'day': 3, 'time': '1030'}}, {'close': {'day': 4, 'time': '2030'}, 'open': {'day': 4, 'time': '1030'}}, {'close': {'day': 5, 'time': '2030'}, 'open': {'day': 5, 'time': '1030'}}, {'close': {'day': 6, 'time': '2030'}, 'open': {'day': 6, 'time': '1030'}}]"
11:00 - 20:00,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1100'}}]"
11:00 - 21:30,"[{'close': {'day': 0, 'time': '2130'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2130'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2130'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2130'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2130'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2130'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2130'}, 'open': {'day': 6, 'time': '1100'}}]"
11:00 -21:00,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}]"
11:00-19:00,"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1100'}}]"
11:00AM - 21:00PM,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '1100'}}]"
11:00PM - 21:00PM,"[{'close': {'day': 0, 'time': '2100'}, 'open': {'day': 0, 'time': '2300'}}, {'close': {'day': 1, 'time': '2100'}, 'open': {'day': 1, 'time': '2300'}}, {'close': {'day': 2, 'time': '2100'}, 'open': {'day': 2, 'time': '2300'}}, {'close': {'day': 3, 'time': '2100'}, 'open': {'day': 3, 'time': '2300'}}, {'close': {'day': 4, 'time': '2100'}, 'open': {'day': 4, 'time': '2300'}}, {'close': {'day': 5, 'time': '2100'}, 'open': {'day': 5, 'time': '2300'}}, {'close': {'day': 6, 'time': '2100'}, 'open': {'day': 6, 'time': '2300'}}]"
11:30 - 20:00,"[{'close': {'day': 0, 'time': '2000'}, 'open': {'day': 0, 'time': '1130'}}, {'close': {'day': 1, 'time': '2000'}, 'open': {'day': 1, 'time': '1130'}}, {'close': {'day': 2, 'time': '2000'}, 'open': {'day': 2, 'time': '1130'}}, {'close': {'day': 3, 'time': '2000'}, 'open': {'day': 3, 'time': '1130'}}, {'close': {'day': 4, 'time': '2000'}, 'open': {'day': 4, 'time': '1130'}}, {'close': {'day': 5, 'time': '2000'}, 'open': {'day': 5, 'time': '1130'}}, {'close': {'day': 6, 'time': '2000'}, 'open': {'day': 6, 'time': '1130'}}]"
