s,t
"[{'open': {'day': 0, 'time': '0000'}}]","['星期一: 24 小時營業', '星期二: 24 小時營業', '星期三: 24 小時營業', '星期四: 24 小時營業', '星期五: 24 小時營業', '星期六: 24 小時營業', '星期日: 24 小時營業']"
"[{'close': {'day': 0, 'time': '1700'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1700'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1700'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1700'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1700'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '0900'}}]","['星期一: 09:00 - 17:00', '星期二: 09:00 - 17:00', '星期三: 09:00 - 17:00', '星期四: 09:00 - 17:00', '星期五: 09:00 - 17:00', '星期六: 09:00 - 17:00', '星期日: 09:00 - 17:00']"
"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1000'}}]","['星期一: 10:00 - 18:00', '星期二: 10:00 - 18:00', '星期三: 10:00 - 18:00', '星期四: 10:00 - 18:00', '星期五: 10:00 - 18:00', '星期六: 10:00 - 19:00', '星期日: 10:00 - 19:00']"
"[{'close': {'day': 0, 'time': '1800'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '1800'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '1800'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '1800'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '1800'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '1800'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '1800'}, 'open': {'day': 6, 'time': '1100'}}]","['星期一: 11:00 - 18:00', '星期二: 11:00 - 18:00', '星期三: 11:00 - 18:00', '星期四: 11:00 - 18:00', '星期五: 11:00 - 18:00', '星期六: 11:00 - 18:00', '星期日: 11:00 - 18:00']"
"[{'close': {'day': 0, 'time': '1830'}, 'open': {'day': 0, 'time': '0930'}}, {'close': {'day': 1, 'time': '1830'}, 'open': {'day': 1, 'time': '0930'}}, {'close': {'day': 2, 'time': '1830'}, 'open': {'day': 2, 'time': '0930'}}, {'close': {'day': 3, 'time': '1830'}, 'open': {'day': 3, 'time': '0930'}}, {'close': {'day': 4, 'time': '1830'}, 'open': {'day': 4, 'time': '0930'}}, {'close': {'day': 5, 'time': '1830'}, 'open': {'day': 5, 'time': '0930'}}, {'close': {'day': 6, 'time': '1830'}, 'open': {'day': 6, 'time': '0930'}}]","['星期一: 09:30 - 18:30', '星期二: 09:30 - 18:30', '星期三: 09:30 - 18:30', '星期四: 09:30 - 18:30', '星期五: 09:30 - 18:30', '星期六: 09:30 - 18:30', '星期日: 09:30 - 18:30']"
"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '0900'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '0900'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '0900'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '0900'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '0900'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '0900'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '0900'}}]","['星期一: 09:00 - 19:00', '星期二: 09:00 - 19:00', '星期三: 09:00 - 19:00', '星期四: 09:00 - 19:00', '星期五: 09:00 - 19:00', '星期六: 09:00 - 19:00', '星期日: 09:00 - 19:00']"
"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1600'}, 'open': {'day': 5, 'time': '1000'}}]","['星期一: 10:00 - 19:00', '星期二: 10:00 - 19:00', '星期三: 10:00 - 19:00', '星期四: 10:00 - 19:00', '星期五: 10:00 - 19:00', '星期六: 10:00 - 16:00', '星期日: 休息']"
"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1000'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1000'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1000'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1000'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1000'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1000'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1000'}}]","['星期一: 10:00 - 19:00', '星期二: 10:00 - 19:00', '星期三: 10:00 - 19:00', '星期四: 10:00 - 19:00', '星期五: 10:00 - 19:00', '星期六: 10:00 - 19:00', '星期日: 10:00 - 19:00']"
"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1100'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1100'}}, {'close': {'day': 2, 'time': '1900'}, 'open': {'day': 2, 'time': '1100'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1100'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1100'}}, {'close': {'day': 5, 'time': '1900'}, 'open': {'day': 5, 'time': '1100'}}, {'close': {'day': 6, 'time': '1900'}, 'open': {'day': 6, 'time': '1100'}}]","['星期一: 11:00 - 19:00', '星期二: 11:00 - 19:00', '星期三: 11:00 - 19:00', '星期四: 11:00 - 19:00', '星期五: 11:00 - 19:00', '星期六: 11:00 - 19:00', '星期日: 11:00 - 19:00']"
"[{'close': {'day': 0, 'time': '1900'}, 'open': {'day': 0, 'time': '1200'}}, {'close': {'day': 1, 'time': '1900'}, 'open': {'day': 1, 'time': '1200'}}, {'close': {'day': 3, 'time': '1900'}, 'open': {'day': 3, 'time': '1200'}}, {'close': {'day': 4, 'time': '1900'}, 'open': {'day': 4, 'time': '1200'}}, {'close': {'day': 5, 'time': '1700'}, 'open': {'day': 5, 'time': '1200'}}, {'close': {'day': 6, 'time': '1700'}, 'open': {'day': 6, 'time': '1200'}}]","['星期一: 12:00 - 19:00', '星期二: 12:00 - 19:00', '星期三: 休息', '星期四: 12:00 - 19:00', '星期五: 12:00 - 19:00', '星期六: 12:00 - 17:00', '星期日: 12:00 - 17:00']"
